id,trigger,conditions,script,text,options,notes
#  bqfsAskedForSuppliesScamHeg,DialogOptionSelected,"$option == bqfs_askForSuppliesScam
$faction.id == hegemony","$option = bqfs_askForSuppliesScamOut 0
FireBest DialogOptionSelected","""I'm a $post for the Hegemony, not some two-credit League world. I've seen the old dump-the-cargo done by an upstart who thinks they're more clever than the system before, and I will again. You should be hauled before a court martial. But lucky you, I've got enough paperwork, so I'm going to pretend this was one big, stupid mistake.""

$HeOrShe sighs, shaking his or her head. ""I'm flagging your commission ID for a cycle. Now get off my comms.""",,
#  bqfsAskedForSuppliesScamTT,DialogOptionSelected,"$option == bqfs_askForSuppliesScam
$faction.id == tritachyon","$option = bqfs_askForSuppliesScamOut 0
FireBest DialogOptionSelected","""I see your trick, captain, and while I admire your drive to maximize profit, I cannot respect that you're too incompetent to dump your supplies further afield before requesting assistance. You understand that if I was found misappropriating Tri-Tachyon property, they'd bond me into debt-service? I've got wealth, but not much. It'd be life.""

$HeOrShe sighs, shaking his or her head. ""I'm flagging your commission ID for a cycle. Now get off my comms.""",,
#  bqfsAskedForSuppliesScamChurch,DialogOptionSelected,"$option == bqfs_askForSuppliesScam
$faction.id == luddic_church","$option = bqfs_askForSuppliesScamOut 0
FireBest DialogOptionSelected","""I may walk with Ludd, but you don't become the $post by taking every spacer's word on faith alone. I'd hoped a captain commissioned by the Church would never attempt a cargo dump scam on me, but here you are.""

$HeOrShe sighs, shaking his or her head. ""I'm flagging your commission for a cycle, that you might reflect and pray for forgiveness. Now remove your sinning face from my comms.""",,
#  bqfsAskedForSuppliesScamLeague,DialogOptionSelected,"$option == bqfs_askForSuppliesScam
$faction.id == persean","$option = bqfs_askForSuppliesScamOut 0
FireBest DialogOptionSelected","""I'm no gens-get, captain; I earned my position by serving from Laicaille to Salamanca and I didn't become $post because I'm a fool. I just didn't expect a League captain to attempt the old smuggler's dump on me.""

$HeOrShe sighs, shaking his or her head. ""I'm flagging your commission ID for a cycle. Now get off my comms.""",,
#  bqfsAskedForSuppliesScamSD,DialogOptionSelected,"$option == bqfs_askForSuppliesScam
$faction.id == sindrian_diktat","$option = bqfs_askForSuppliesScamOut 0
FireBest DialogOptionSelected","""You don't become the $post here without knowing a few tricks employed by terrorists and smugglers. I'd have expected if you'd pledged to the Sindrian Diktat you'd know better than to attempt the old cargo dump scam. Stars beyond, you'd get us both sent to Cruor!""

$HeOrShe sighs, shaking his or her head. ""I'm flagging your commission ID for a cycle. You'd best hope the Spider doesn't take an interest. Now get off my comms.""",,
#  bqfsAskedForSuppliesScamOut,DialogOptionSelected,$option == bqfs_askForSuppliesScamOut,"AdjustRepActivePerson -2
$faction.playerReceivedCommissionResupply = true 365
$faction.playerReceivedCommissionResupplyOn = $global.daysSinceStart
$playerAttemptedCargoPodScam = true
$player.attemptedComSupCargoPodScamEver = true
$ignorePlayerCommRequests = true 7",,cutCommLink:Cut the comm link,
#  bqfsAskedForSuppliesAcceptA,DialogOptionSelected,"$option == bqfs_askForSupplies2
$player.fleetLowCR
$player.supplies < 10",,"""Hmm. Your $shipOrFleet is in decent shape, but your readiness has suffered. Seeing as how you bear a $faction commission, it looks like I might be able to justify providing you with assistance.""

$HeOrShe gives you a severe look. ""Are you sure you want to call this in now? A commissioned captain is only authorized to receive emergency supplies once per cycle.""","bqfs_receiveSupplies:""I need supplies. Badly.""
bqfs_receiveSuppliesAbort:""No, I'll do without.""",
#  bqfsAskedForSuppliesAcceptAbort,DialogOptionSelected,$option == bqfs_receiveSuppliesAbort,FireAll PopulateOptions,The $post simply nods.,,
#  bqfsAskedForSuppliesAcceptB,DialogOptionSelected,"$option == bqfs_askForSupplies2
$player.fleetDamaged score:2
$player.supplies < 10",,"""It looks like your $shipOrFleet has taken some hits. Seeing as how you bear a $faction commission, it looks like I can justify providing you with assistance.""",bqfs_receiveSupplies:Continue,
#  bqfsAskedForSuppliesAcceptC,DialogOptionSelected,"$option == bqfs_askForSupplies2
$player.fleetDamaged
$player.fleetDamagedLots score:2
$player.supplies < 10",,"""Your $shipOrFleet has taken some serious damage. You have a $faction commission and this is a clear case of need, so I shall provide you with emergency supplies.""",bqfs_receiveSupplies:Continue,
#  bqfsAskedForSuppliesDecline,DialogOptionSelected,$option == bqfs_askForSupplies2,"FireAll PopulateOptions
RemoveOption bqfs_askForSupplies","""Looks like you've got a handle on your $shipOrFleet's upkeep. I'll not give supplies away for them to end up on the black market.""

$HeOrShe holds up one rough hand, ""Not accusing you, captain. It's simply a matter of policy that I must justify any emergency supply transfer. If I can't prove they're used to serve $faction interests, then I have to answer for the expense.""",,
#  bqfsASkedForSuppliesDeclineColony,DialogOptionSelected,"$option == bqfs_askForSupplies2
$player.numColonies > 0 score:100","AdjustRepActivePerson -1
FireAll PopulateOptions
RemoveOption bqfs_askForSupplies","$HeOrShe back looks to you, perplexed. ""You own your own planet and you've come to me begging for supplies?""

""I'll count this as a joke in poor taste, $playerSirOrMadam.""

$HeOrShe doesn't look amused, and doesn't manage to imbue $hisOrHer words with quite the tone of respect $hisOrHer words alone would imply.",,
#  bqfsAskedForSuppliesAccept2,DialogOptionSelected,$option == bqfs_receiveSupplies,"AddRemoveCommodity supplies 60
$faction.playerReceivedCommissionResupply = true 365
$faction.playerReceivedCommissionResupplyOn = $global.daysSinceStart
FireAll PopulateOptions
RemoveOption bqfs_askForSupplies","You make the arrangements, and before the passing of a workshift, a small batch of emergency supplies is transferred to your $shipOrFleet for repairs.

""The funds you receive from $theFaction are meant to cover operational expenses,"" $personName says brusquely. ""Your commission ID will be flagged for one full cycle due to this emergency supply transfer, so don't make a habit of not having a backup plan.""",,
,,,,,,
"All Triggers - PopulateOptions DialogOptionSelected OpenCommLink PickGreeting NewGameOptionSelected
NPCCommsRequest MarketPostOpen ConfirmNPCWantsToTalk PostGroundRaid PickGreetingActiveBeginNewGameCreation
",ShowImageVisual NAME,,,,,
#KIERA SHEPPARD INTERACTION,,,,,,
#unsfKieraFirstGreeting,PopulateOptions,"$isPerson
$id == atlantis_shady
!$player.metAtlantis_Shady","ShowPersonVisual
FireAll PopulateOptions
$player.metAtlantis_Shady = true
AddText ""You walk trought station, its like nothing you have ever seen, its less of a space staton but more of a space city.""

AddText ""Many corridors, hallways, teleporters for civilian use. You use one and find yourself in docking area.""

AddText ""You explore a bit untill you find woman near wet boxes.""",,ksi_observe_op:Observe woman,
#unsfObserveKiera,DialogOptionSelected,"$option == ksi_observe_op
",,"""Never thought I’d find something like this... after all these weeks.""
She holds up the device, its faint glow pulsing softly.
""It even still has power.""
Kiera glances at you suspiciously, her expression hardening as she continues.
""Who are you? Haven’t seen you around here before.""
Her grip on the device tightens as she assesses your intentions.
",,
,,,,,,
,,,,,,
#UAFNiaFirstGreeting,PickGreeting,"$id == uaf_niaauroria score:100
!$player.metUAFNiaAuroria","ShowPersonVisual
FireAll PopulateOptions
$player.metUAFNiaAuroria = true
AddText ""You see many people from numerous worlds seems to be queueing in front of you, took the ticket and wait in the queue bench. Looking up there is a large sign laced with neon lights underneath with a text saying \""Aurora Diplomatic Bureau\"".""

AddText ""Not long after, your number got called, you walk over to the counter and open the communication device that is now available to you""

AddText """"\""Bzzt!!""\"""" highlight

AddText ""A woman with a tied up white hair can now be seen appearing in your monitor, wearing a dark officer uniform with badges that appear quite high in rank on her shawl. A small text also appeared on the down-left side of your screen, identifying the person as Nia Auroria, the Administrator of this station as well as the current Head of The Bureau.""

AddText ""\""Well, you may speak your business now, if not then I'll have something else to do.\"" the woman speaks in a strict manner, only slightly staring at you.""",,0:cutCommLinkPolite:Cut the comm link,
,,,,,,
#unsfKieraGreet,PopulateOptions,"$isPerson
$id == atlantis_shady
!$player.metAtlantis_Shady","FireAll PopulateOptions
$player.metAtlantis_Shady = true
SetOptionColor unsfVisitKierra highlight","""*Kierra says hi + heard about player*""
""*Kierra asks for help + to meet her in person*""","0:cutCommLinkPolite:Cut the comm link
1:unsfVisitKierra:Take a shuttle down to meet Kierra",
#unsfKieraKnown,PopulateOptions,"$isPerson
$id == atlantis_shady
$player.metAtlantis_Shady","FireAll PopulateOptions
SetOptionColor unsfVisitKierra highlight",*Kierra says hi + asks if player can meet*,"0:cutCommLinkPolite:Cut the comm link
1:unsfVisitKierra:Take a shuttle down to meet Kierra",
,,,,,,
unsfKieraGreet,PopulateOptions,"$isPerson
$id == atlantis_shady
!$player.metAtlantis_Shady","FireAll PopulateOptions
$player.metAtlantis_Shady = true
SetOptionColor unsfVisitKierra highlight",*Kierra says hi + heard about player*,null:Continue,
unsfKieraKnown,PopulateOptions,"$isPerson
$id == atlantis_shady
$player.metAtlantis_Shady","FireBest DialogOptionSelected
SetOptionColor unsfVisitKierra highlight",*Kierra asks if player can meet in person*,"0:cutCommLinkPolite:Cut the comm link
1:unsfvisitKierra1:Take a shuttle down to meet Kierra",
,,,,,,
unsfVisitKierra1,DialogOptionSelected,$option == unsfVisitKierra1,ShowLargePlanet,*Description of going down*,unsfvisitKierra2:Continue,
unsfVisitKierra2,DialogOptionSelected,$option == unsfVisitKierra2,,*Description of Kierra at a testing facility*,unsfvisitKierra3:Continue,
unsfVisitKierra3,DialogOptionSelected,$option == unsfVisitKierra3,,"*Kierra says hi + thanks for coming*

*Kierra explains about the scientist working with Tri-Tach on a warp-drive*","unsfvisitKierra4:""A warp drive? Like the kind that brought you here?""",
unsfVisitKierra4,DialogOptionSelected,"$option == unsfVisitKierra4
FireBest unsfKierraTJResponse",,*Kierra says its similar to a Transverse Jump*,,
unsfvisitKierra4Known,unsfKierraTJResponse,$player.ability:fracture_jump,,,"unsfvisitKierra5:""That sounds similar to a Transverse Jump I can do!""",
unsfvisitKierra4Unknown,unsfKierraTJResponse,!$player.ability:fracture_jump,,,"unsfvisitKierra5:""Doesn't that give any fleet using it a huge tactical advantage!""",
unsfVisitKierra5,DialogOptionSelected,$option == unsfVisitKierra5,,"""That it does!"" She looks somewhat surprised of your experience with the subject matter, ""But it has a lot more uses, past the dreams of an ordinary salvager.""

""Understanding the rules that govern this universe's cross-dimensional transit might let us escape the madness that's come over this sector, or better yet"", she pauses, you can almost see a smirk form on her face, ""travel back home.""
It's unclear whether she actually believes this specific project is capable of that...","unsfvisitKierra6:""Sounds like something worth looking into. Where's Dr. NAME stationed at?""",
unsfVisitKierra6,DialogOptionSelected,"Call $mHub accept $missionId
Call $mHub returnToList",,"She softly grins, ""Funny, I said the same thing the first time I heard of it.""

""Last she checked in, NAME was on a PLANET-TYPE, about DISTANCE ly away. Head there, provide the assistance she requested, and report back."" Kierra gives you a disappointed look, ""I'm not able to provide you any compensation for what is to come, but I do have some fuel tanks you may use for your journey!""

She waves you goodbye as you part ways ""Godspeed, $playerFirstName.""",,
,,,,,,
