id,type,text1,text2,text3,text4,notes,Column 08,Column 09,Column 10
unsf_coilgun,WEAPON,This is evolution of railgun technology where slugs and rails are replaced by pulse charged coils and small charged-plasma capsules. ,,,,,,,
unsf_pulsar,WEAPON,"Recovery of pulse weapon research from Atlantis lead to development of large scale pulse cannon prototypes. These cannons are now fitted onto most large mounts on UNSF ships, due to their efficiency against most threats.",,,,,,,
unsf_asgard_pulse,WEAPON,"A very successful adaptation of Asgard plasma armaments, this weapon delivers respectable damage upfront, provided you have the flux pool to put it to work.",,,,,,,
,,,,,,,,,
#BEAMS - medium range delete beams,,,,,,,,,
unsf_asgard_beam,WEAPON,"Old Asgard designs of plasma beam weapons are well known for their power, but less so for their relatively short range and slow charge-up time.",,,,,,,
unsf_asgard_lance,WEAPON,"Evolution of old Asgard technology upgraded by tachyon beam blueprints. On impact on hull or armor, delivers emp arcs, that are often devastating to ship weapons and engines.",,,,,,,
unsf_ori_lance,WEAPON,"Adapted from weapons of defeated gods, this lance collects and directs massive energy bursts, designed to melt holes clean through the unfortunate target.",,,,,,,
,,,,,,,,,
,,,,,,,,,
#DRONES - very angry missile,,,,,,,,,
unsf_dronelauncher,WEAPON,"""Craft of minds from ancient days, forged in wisdom's endless gaze, I seek no throne, no crown, no name, but strike with force from which I came.""
- Inscription on a hull of an unknown design.",,,,,,,
,,,,,,,,,
#VERTICAL LAUNCH MISSILES - because US navy go brrr,,,,,,,,,
unsf_vls_0,WEAPON,Specialist anti-air missiles armed with a proximity fuse. Target primarily bigger torpedoes and enemy wings.,,,,,,,
unsf_vls_1,WEAPON,"Standard issue anti-ship missile, with a focus against frigates and destroyers. Outputs relatively good damage against shields and bare hull.",,,,,,,
unsf_vls_2,WEAPON,"Naquadria-enhanced anti-ship missile. It's slower, but delivers a more powerful explosion, stripping the target's armor.",,,,,,,
unsf_vls_3,WEAPON,"First standard-issue nuclear energy warhead, with a finisher focus against cruisers and capital ships.",,,,,,,
unsf_horizon,WEAPON,"A specialist anti-everything weapon, originally deployed for planetary nuclear strikes. Later, it was repurposed for anti-ship use. Due to a lack of mines supplying Naquadria, the second stage warheads are equiped with nuclear payloads, resulting in only parcial yields of the original weapon.",,,,,,,
,,,,,,,,,
unsf_f302,SHIP,Wings of F-302 fighters were first space-capable ships developed by UNSF. Their versatility as a space superiority fighter and anti-ship capabilities makes them an irreplaceable part of every UNSF fleet.,,,,,,,
unsf_b302,SHIP,"Size constrains of the F-302s could not be fitted with Space JDAM weapons. This dilemma sparked development of the dedicated B-302, which, while more bulky, also packs quite a punch.",,,,,,,
unsf_d302,SHIP,"They are drones and they defend, what more can be said.",,,,,,,
,,,,,,,,,
unsf_fenrir,SHIP,"A high tech patrol vessel with an integrated Asgard Beam to output continuous pressure. Alone it may be vulnerable, but in pack, these nordic wolfs can take on much bigger prey.",,,,,,,
unsf_prometheus,SHIP,"While this ship is considered, by some, to be a relic of the past, it can still turn the tides of a battle, if utilized correctly. Generally used for escort purposes, the Prometheus class hosts a comparable number of missile and wing mounts.",,,,,,,
unsf_abydos,SHIP,"First dedicated transport vessel in the UNSF navy, equiped with a built-it drone laucher more for deterence, as well as a comfortable point defence setup.",,,,,,,
unsf_tempest,SHIP,"Stargates cannot be used for transport of high volumes of cargo and fuel, unike these vessels. Several Tempest freighters can haul enough supplies and fuel for largest UNSF fleets. ",,,,,,,
unsf_dauntless,SHIP,"The Dauntless class was the answer to the heavy crew demand among the UNSF fleet. Equiped with large crew quaters and transport rings, this ship is also a valuable asset in laying siege to any well-defended polity.",,,,,,,
unsf_daedalus,SHIP,"Daedalus is a backbone of many UNSF fleets. Best multipurpose cruiser in fleet, featuring equivalent amounts of OP, firepower, wings, and maneuverability.",,,,,,,
unsf_theseus,SHIP,"A dedicated carrier in any UNSF fleet, that does not sacrifice its firepower potential. Half of the hangar bays to the superstructure had to be integrated, while the others still allow the ship to host wings of your choosing.",,,,,,,
unsf_helios,SHIP,"A heavy cruiser with a more than comfortable mix of weapon mounts. The Helios, however, pays for it with its sluggishness and somewhat limited flux pool.",,,,,,,
unsf_hyperion,SHIP,"Dedicated super freighter of UNSF fleet provides supplies and fuel for big fleets via its large capacity and high burn level, but lacks in armor and defense. It comes standard with two wings of D-302 drones, to make up for its lack in substantial firepower.",,,,,,,
unsf_astraios,SHIP,"First UNSF battlecruiser, some even consider it a capital-class vessel. First ship in fleet with dedicated sets of weapon mounts, used to cover all 360 degrees of the ship. It serves as a fleet anchor to many UNSF armadas, and can output quite some firepower, provided it makes it to the fight in time.",,,,,,,
,,,,,,,,,
,,,,,,,,,
