name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Type-2 Drone Launcher,unsf_dronelauncher,1,,3000,1500,,450,,120,15,3,24,,,HIGH_EXPLOSIVE,30,,0,3,6,0.2,0,0,0,,,800,0,10,800,"DO_NOT_AIM, DO_NOT_CONSERVE, ANTI_FTR, MISSILE_SPREAD","missile18, unsf_bp_wpn",,,,General,,,,,,,,,,
Type-3 Drone Launcher,unsf_dronestorage,1,,3000,3000,,600,,120,15,3,500,,,HIGH_EXPLOSIVE,30,,0,0.2,10,0.01,0,0,0,,,800,0,30,800,"DO_NOT_AIM, DO_NOT_CONSERVE, MISSILE_SPREAD","missile18, unsf_bp_wpn",,,,General,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#VERTICAL LAUNCH MISSILE PODS - because US navy go brrr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
VLS Type-1 (small anti-ship),unsf_vls_1,1,,250,1500,,650,50,25,100,15,30,,,HIGH_EXPLOSIVE,50,,0,5,5,0.20,0,0,0,0,,600,0,6,75,"STRIKE, USE_VS_FRIGATES, DO_NOT_AIM","strike17, missile18, unsf_bp_wpn",,,,General,Fast,Excellent,,,,,,,,11
VLS Type-2 (medium anti-ship),unsf_vls_2,1,,3000,1500,,1200,100,100,100,25,15,,,HIGH_EXPLOSIVE,50,,0,10,3,0.35,0,0,0,,,550,0,6,200,"STRIKE, USE_VS_FRIGATES, DO_NOT_AIM","strike18, missile18, unsf_bp_wpn",,,,Against small/medium ships,,,,,,,,,,12
VLS Type-3 (heavy anti-ship),unsf_vls_3,1,,3000,1500,,2400,500,250,100,30,4,,,HIGH_EXPLOSIVE,50,,0,20,,,0,0,0,,,500,0,6,800,"STRIKE, USE_VS_FRIGATES, DO_NOT_AIM","strike19, missile18, unsf_bp_wpn",,,,Against big ships,,,,,,,,,,13
VLS Type-4 (anti-air),unsf_vls_0,1,,3000,1500,,75,,120,100,15,60,,,FRAGMENTATION,50,,0,3,4,0.20,0,0,0,0,,600,0,6,75,"DO_NOT_AIM, PD_ONLY, ANTI_FTR,","missile18, unsf_bp_wpn",,,,Anti Small Craft,Fast,Excellent,,,,,,,,14
VLS Type-X HORIZON,unsf_horizon,1,,3000,2000,,3500,,120,100,60,1,,,ENERGY,50,,0,20,,,0,0,0,,,500,0,6,800,"STRIKE, DO_NOT_AIM,","strike20, missile18, unsf_bp_wpn",,,,Superweapon,,,,,,,,,,
# BALANCED - except costs,,,,,#balanced,,#balanced,,,,,,,,#balanced,,,,#balanced,#balanced,#balanced,,,,,,#balanced,#balanced,#balanced,,#balanced,#balanced,,,,#balanced,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#SHIP SYSTEMS - NOT MEANT TO BE PLAYABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asgard nuke transporter,unsf_mark9_launcher,0,,200000,2000,,3500,,25,30,12,30,,,HIGH_EXPLOSIVE,0,,0,3,1,,0,0,0,0,,50,50,20,500,,,SYSTEM,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#EXPERIMENTS - not meant to be balanced or playable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shotgun,unsf_shotgun,1,1,666,1000,,15,5,10,80,10,,,,KINETIC,10,,0,1.5,,,10,10,10,0,,1000,,,,,,,,,,,,,,,,,,,
Type-3 Flak,unsf_flk,1,0,800,1000,,150,1,20,100,6,150,,,FRAGMENTATION,2,,0.01,0.4,,,0,10,10,,,750,750,1.1,100,"ANTI_FTR, DO_NOT_CONSERVE",,,,,,,,,,,,,,,
Type-2 Asgard pulse,unsf_asgardpulse,1,,1200,600,,150,,0,20,10,,,,ENERGY,45,,0.15,0,,,,,,,,1000,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
