name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
VLS Type-0,unsf_vls_0,0,0.5,1500,2000,,150,50,0,100,2,20,1,5,FRAGMENTATION,,,0,0.1,,,0,0,0,0,,500,100,5,100,"DO_NOT_AIM, PD_ONLY, ANTI_FTR,","missile18, unsf_bp_wpn, merc",,,,Anti Small Craft,Fast,Excellent,,,,,,,,
VLS Type-1,unsf_vls_1,1,0.5,4500,2000,,250,100,50,50,4,30,,,KINETIC,,,0,1,2,0.25,0,0,0,0,,450,75,5,200,"STRIKE, USE_VS_FRIGATES, DO_NOT_AIM","strike17, missile18, unsf_bp_wpn, merc",,,,Anti Shield,Fast,Excellent,,,,,,,,
VLS Type-2,unsf_vls_2,2,0.5,8000,2500,,600,500,100,50,9,15,,,HIGH_EXPLOSIVE,,,0,5,3,0.5,0,0,0,0,,300,50,10,400,"STRIKE, USE_VS_FRIGATES, DO_NOT_AIM","strike18, missile18, unsf_bp_wpn, merc",,,,Anti Armor,,,,,,,,,,
VLS Type-3,unsf_vls_3,3,0.5,25000,4000,,2500,800,250,50,22,8,,,ENERGY,,,0,20,,,0,0,0,0,,350,75,20,500,"STRIKE, USE_VS_FRIGATES, DO_NOT_AIM","strike19, missile18, unsf_bp_wpn",,,,General,,,,,,,,,,
VLS Type-X,unsf_horizon,4,0.5,150000,5000,,4000,1000,400,50,28,1,0.01,1,ENERGY,1000,,0,40,,,0,0,0,0,,400,100,25,1000,"STRIKE, DO_NOT_AIM,","strike20, missile18, unsf_bp_wpn",,,,Superweapon,,,,,,,,,,
,,,,,#balanced,,#balanced,,,,,,,,#balanced,,,,#balanced,#balanced,#balanced,,,,,,#balanced,#balanced,#balanced,,#balanced,#balanced,,,,#balanced,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#SHIP SYSTEMS - NOT MEANT TO BE PLAYABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asgard Nuke,unsf_mark9_launcher,3,0,200000,2000,,4000,,250,30,12,30,,,ENERGY,0,,0,3,1,,0,0,0,0,,100,100,20,1000,SYSTEM,,SYSTEM,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#EXPERIMENTS - not meant to be balanced or playable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
